nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues,ageInYears,ageInMonths,releasesMonth,daysFromUpdate
freeCodeCamp/freeCodeCamp,24/12/2014 17:49:19,32294,0,08/03/2023 14:20:16,TypeScript,16721,16566,8,100.52292506481481,0.0,0.17191861111111112
EbookFoundation/free-programming-books,11/10/2013 06:50:37,8248,0,08/03/2023 14:21:04,,911,886,9,114.75553617592593,0.0,0.15858527777777778
996icu/996.ICU,26/03/2019 07:31:14,1949,0,08/03/2023 14:20:04,,0,0,3,48.33297136111111,0.0,0.17525194444444445
jwasham/coding-interview-university,06/06/2016 02:34:12,876,0,08/03/2023 14:05:02,,385,341,6,82.59798987962964,0.0,0.4258075
sindresorhus/awesome,11/07/2014 13:42:37,1879,0,08/03/2023 14:20:38,,320,297,8,105.42664728703704,0.0,0.1658075
kamranahmedse/developer-roadmap,15/03/2017 13:45:52,2182,1,08/03/2023 14:16:34,Astro,917,760,5,72.82484173148148,0.013731578074514503,0.23358527777777777
public-apis/public-apis,20/03/2016 23:49:42,2927,0,08/03/2023 14:21:28,Python,445,416,6,85.25604543518519,0.0,0.1519186111111111
donnemartin/system-design-primer,26/02/2017 16:15:28,464,0,08/03/2023 14:17:19,Python,244,71,6,74.0750639537037,0.0,0.22108527777777776
facebook/react,24/05/2013 16:15:54,13253,99,08/03/2023 14:19:18,JavaScript,12085,11150,9,119.87482321296298,0.8258614890644892,0.18802972222222222
vuejs/vue,29/07/2013 03:24:51,2389,245,08/03/2023 14:04:27,TypeScript,9948,9584,9,117.33651765740741,2.088011515011356,0.43552972222222225
codecrafters-io/build-your-own-x,09/05/2018 12:03:18,290,0,08/03/2023 14:01:32,,542,378,4,58.88182321296296,0.0,0.48414083333333335
tensorflow/tensorflow,07/11/2015 01:19:20,22710,186,08/03/2023 14:18:45,C++,36798,34741,7,89.7062491388889,2.073434145173354,0.1971963888888889
getify/You-Dont-Know-JS,16/11/2013 02:37:24,871,0,08/03/2023 14:14:05,,908,825,9,113.69621210185186,0.0,0.2749741666666667
trekhleb/javascript-algorithms,24/03/2018 07:47:04,650,0,08/03/2023 14:08:09,JavaScript,314,207,4,60.55750839814815,0.0,0.3738630555555556
CyC2018/CS-Notes,13/02/2018 14:56:24,597,0,08/03/2023 14:18:38,,559,440,5,62.3856565462963,0.0,0.19914083333333332
twbs/bootstrap,29/07/2011 21:19:00,14378,83,08/03/2023 14:15:22,JavaScript,21809,21547,11,141.87310099074077,0.5850298571074225,0.2535852777777778
vinta/awesome-python,27/06/2014 21:00:06,1764,0,08/03/2023 14:20:24,Python,501,488,8,106.41693432407408,0.0,0.16969638888888888
ohmyzsh/ohmyzsh,28/08/2009 18:15:37,6780,0,08/03/2023 13:46:29,Shell,4390,4175,13,165.3083139537037,0.0,0.7349741666666667
TheAlgorithms/Python,16/07/2016 09:44:01,6809,0,08/03/2023 14:16:50,Python,1227,1209,6,81.02586950925925,0.0,0.22914083333333335
flutter/flutter,06/03/2015 22:54:58,42027,0,08/03/2023 13:44:06,Dart,79458,68139,8,97.95311950925927,0.0,0.7746963888888889
torvalds/linux,04/09/2011 22:48:12,761,0,08/03/2023 14:15:46,C,0,0,11,140.59021210185185,0.0,0.24691861111111113
github/gitignore,08/11/2010 20:17:14,4166,0,08/03/2023 14:13:55,,0,0,12,150.6740824722222,0.0,0.27775194444444445
microsoft/vscode,03/09/2015 20:23:38,19554,92,08/03/2023 14:14:43,TypeScript,151910,145739,7,92.00386025,0.9999580425213734,0.2644186111111111
ossu/computer-science,04/05/2014 00:18:39,392,0,08/03/2023 14:20:21,,599,585,8,108.13996210185186,0.0,0.17052972222222224
