nameWithOwner,createdAt,pullRequests,releases,updatedAt,primaryLanguage,issues,closedIssues
freeCodeCamp/freeCodeCamp,24/12/2014 17:49:19,32284,0,07/03/2023 15:47:36,TypeScript,16719,16564
EbookFoundation/free-programming-books,11/10/2013 06:50:37,8248,0,07/03/2023 15:47:48,,911,886
996icu/996.ICU,26/03/2019 07:31:14,1949,0,07/03/2023 14:01:04,,0,0
jwasham/coding-interview-university,06/06/2016 02:34:12,876,0,07/03/2023 15:44:05,,383,339
sindresorhus/awesome,11/07/2014 13:42:37,1878,0,07/03/2023 15:46:28,,320,297
kamranahmedse/developer-roadmap,15/03/2017 13:45:52,2179,1,07/03/2023 15:34:00,Astro,913,759
public-apis/public-apis,20/03/2016 23:49:42,2927,0,07/03/2023 15:28:48,Python,444,416
donnemartin/system-design-primer,26/02/2017 16:15:28,464,0,07/03/2023 15:39:50,Python,244,71
facebook/react,24/05/2013 16:15:54,13248,99,07/03/2023 15:44:55,JavaScript,12084,11149
vuejs/vue,29/07/2013 03:24:51,2387,245,07/03/2023 15:44:51,TypeScript,9947,9584
codecrafters-io/build-your-own-x,09/05/2018 12:03:18,289,0,07/03/2023 15:38:52,,542,378
tensorflow/tensorflow,07/11/2015 01:19:20,22709,185,07/03/2023 15:16:14,C++,36788,34736
getify/You-Dont-Know-JS,16/11/2013 02:37:24,871,0,07/03/2023 15:39:33,,908,825
trekhleb/javascript-algorithms,24/03/2018 07:47:04,650,0,07/03/2023 15:43:51,JavaScript,314,207
twbs/bootstrap,29/07/2011 21:19:00,14369,83,07/03/2023 14:45:41,JavaScript,21809,21545
CyC2018/CS-Notes,13/02/2018 14:56:24,597,0,07/03/2023 14:31:59,,559,440
vinta/awesome-python,27/06/2014 21:00:06,1764,0,07/03/2023 15:42:57,Python,501,480
ohmyzsh/ohmyzsh,28/08/2009 18:15:37,6778,0,07/03/2023 15:14:46,Shell,4390,4174
TheAlgorithms/Python,16/07/2016 09:44:01,6809,0,07/03/2023 15:42:59,Python,1227,1209
flutter/flutter,06/03/2015 22:54:58,41992,0,07/03/2023 15:20:06,Dart,79410,68084
torvalds/linux,04/09/2011 22:48:12,761,0,07/03/2023 15:43:37,C,0,0
github/gitignore,08/11/2010 20:17:14,4166,0,07/03/2023 15:25:06,,0,0
microsoft/vscode,03/09/2015 20:23:38,19510,92,07/03/2023 15:19:13,TypeScript,151840,145682
ossu/computer-science,04/05/2014 00:18:39,392,0,07/03/2023 15:46:33,,599,585
airbnb/javascript,01/11/2012 23:13:50,1411,0,07/03/2023 15:45:44,JavaScript,1235,1138
jlevy/the-art-of-command-line,20/05/2015 15:11:03,566,0,07/03/2023 15:33:58,,232,130
Snailclimb/JavaGuide,07/05/2018 13:27:00,1028,0,07/03/2023 15:16:48,Java,860,794
jackfrued/Python-100-Days,01/03/2018 16:05:52,314,0,07/03/2023 14:55:00,Python,596,102
awesome-selfhosted/awesome-selfhosted,01/06/2015 02:33:17,2668,0,07/03/2023 15:42:48,Makefile,763,710
ytdl-org/youtube-dl,31/10/2010 14:35:07,4822,341,07/03/2023 15:35:07,Python,25637,21799
labuladong/fucking-algorithm,19/02/2020 09:01:23,419,1,07/03/2023 14:43:58,Markdown,496,425
golang/go,19/08/2014 04:33:40,2865,0,07/03/2023 15:43:31,Go,54780,46900
30-seconds/30-seconds-of-code,29/11/2017 17:35:03,1483,4,07/03/2023 15:18:48,JavaScript,277,277
facebook/react-native,09/01/2015 18:10:16,11968,241,07/03/2023 15:29:46,JavaScript,24013,22043
electron/electron,12/04/2013 01:47:36,18777,1000,07/03/2023 15:46:43,C++,18068,17206
d3/d3,27/09/2010 17:22:42,1114,190,07/03/2023 15:45:50,JavaScript,2134,2129
vercel/next.js,05/10/2016 23:32:51,14751,1000,07/03/2023 15:03:55,JavaScript,15357,14104
justjavac/free-programming-books-zh_CN,04/11/2013 01:59:19,451,3,07/03/2023 15:30:28,,0,0
axios/axios,18/08/2014 22:30:27,1333,57,07/03/2023 14:24:49,JavaScript,4119,3785
facebook/create-react-app,17/07/2016 14:55:11,4125,83,07/03/2023 11:34:18,JavaScript,8003,6465
avelino/awesome-go,06/07/2014 13:42:15,4170,0,07/03/2023 15:30:28,Go,554,527
kubernetes/kubernetes,06/06/2014 22:56:04,73514,587,07/03/2023 15:27:16,Go,42603,40996
nodejs/node,26/11/2014 19:57:11,29757,333,07/03/2023 15:20:33,JavaScript,15646,14360
practical-tutorials/project-based-learning,12/04/2017 05:07:46,311,0,07/03/2023 15:46:43,,69,44
trimstray/the-book-of-secret-knowledge,23/06/2018 10:43:14,230,0,07/03/2023 15:47:43,,0,0
mrdoob/three.js,23/03/2010 18:58:01,13844,142,07/03/2023 15:23:27,JavaScript,11606,11242
microsoft/TypeScript,17/06/2014 15:28:39,15833,168,07/03/2023 14:46:33,TypeScript,36339,30509
denoland/deno,15/05/2018 01:34:26,9767,215,07/03/2023 15:45:02,Rust,7409,6265
microsoft/terminal,11/08/2017 18:38:22,3475,89,07/03/2023 15:35:51,C++,11051,9542
microsoft/PowerToys,01/05/2019 17:44:02,4297,76,07/03/2023 15:37:43,C#,20249,15701
yangshun/tech-interview-handbook,05/07/2016 05:00:48,498,0,07/03/2023 15:33:21,TypeScript,69,54
goldbergyoni/nodebestpractices,15/09/2017 08:33:19,900,0,07/03/2023 15:34:59,JavaScript,300,279
angular/angular,18/09/2014 16:12:01,23355,249,07/03/2023 15:44:42,TypeScript,24950,23752
mui/material-ui,18/08/2014 19:11:54,18555,398,07/03/2023 15:18:05,JavaScript,17037,15853
ant-design/ant-design,24/04/2015 15:37:24,13494,564,07/03/2023 15:16:43,TypeScript,26025,25114
huggingface/transformers,29/10/2018 13:56:00,10911,108,07/03/2023 15:43:19,Python,11005,10583
puppeteer/puppeteer,09/05/2017 22:16:13,3807,179,07/03/2023 15:05:34,TypeScript,5859,5611
PanJiaChen/vue-element-admin,17/04/2017 03:35:49,571,49,07/03/2023 14:17:53,Vue,3510,2333
ryanmcdermott/clean-code-javascript,25/11/2016 22:25:41,269,0,07/03/2023 15:32:57,JavaScript,135,81
iluwatar/java-design-patterns,09/08/2014 16:45:18,1615,0,07/03/2023 15:33:57,Java,845,659
rust-lang/rust,16/06/2010 20:39:03,61147,108,07/03/2023 14:23:28,Rust,47450,38630
Genymobile/scrcpy,21/11/2017 18:00:27,345,29,07/03/2023 15:12:42,C,3388,2163
animate-css/animate.css,12/10/2011 10:07:38,791,22,07/03/2023 13:41:59,CSS,841,819
storybookjs/storybook,18/03/2016 04:23:44,9941,1000,07/03/2023 15:17:27,TypeScript,10244,8311
nvbn/thefuck,08/04/2015 15:08:04,663,17,07/03/2023 14:39:59,Python,664,453
tensorflow/models,05/02/2016 01:15:20,3723,29,07/03/2023 15:03:44,Jupyter Notebook,7077,6023
gothinkster/realworld,26/02/2016 20:49:53,513,0,07/03/2023 13:16:13,TypeScript,509,459
laravel/laravel,08/06/2011 03:06:08,4478,135,07/03/2023 15:29:22,PHP,0,0
MisterBooo/LeetCodeAnimation,06/12/2018 08:01:22,74,0,07/03/2023 15:28:13,Java,58,42
FortAwesome/Font-Awesome,17/02/2012 14:19:43,663,50,07/03/2023 14:27:13,JavaScript,18757,13448
papers-we-love/papers-we-love,15/12/2013 14:31:41,495,0,07/03/2023 14:50:56,Shell,191,172
mtdvio/every-programmer-should-know,24/08/2017 13:18:26,159,0,07/03/2023 15:26:38,,42,18
django/django,28/04/2012 02:47:18,16582,0,07/03/2023 14:23:10,Python,0,0
tonsky/FiraCode,11/11/2014 19:32:38,177,29,07/03/2023 15:25:26,Clojure,1259,906
doocs/advanced-java,06/10/2018 11:38:30,114,1,07/03/2023 13:58:57,Java,139,137
bitcoin/bitcoin,19/12/2010 15:16:43,18802,40,07/03/2023 15:01:00,C++,7333,6938
vuejs/awesome-vue,20/10/2015 00:16:14,3743,0,07/03/2023 14:01:13,,211,181
microsoft/Web-Dev-For-Beginners,10/11/2020 02:44:00,747,0,07/03/2023 15:35:13,JavaScript,226,217
ripienaar/free-for-dev,18/03/2015 21:06:26,2703,0,07/03/2023 15:42:18,HTML,0,0
opencv/opencv,19/07/2012 09:40:17,13690,59,07/03/2023 15:33:22,C++,9527,7176
gin-gonic/gin,16/06/2014 23:57:25,1518,24,07/03/2023 15:34:19,Go,1992,1500
sveltejs/svelte,20/11/2016 18:13:05,3287,0,07/03/2023 15:46:48,TypeScript,4883,4126
spring-projects/spring-boot,19/10/2012 15:02:57,5587,163,07/03/2023 15:09:46,Java,28577,28012
typicode/json-server,27/11/2013 13:21:13,354,12,07/03/2023 14:50:24,JavaScript,1036,467
gohugoio/hugo,04/07/2013 15:26:26,4286,217,07/03/2023 12:54:32,Go,6381,5738
tailwindlabs/tailwindcss,06/10/2017 14:59:14,2112,209,07/03/2023 15:25:06,HTML,2748,2743
521xueweihan/HelloGitHub,04/05/2016 06:24:11,31,28,07/03/2023 15:08:55,Python,2430,2341
moby/moby,18/01/2013 18:10:57,23063,120,07/03/2023 15:38:42,Go,21785,17818
nvm-sh/nvm,15/04/2010 17:47:47,1004,62,07/03/2023 15:19:01,Shell,1920,1603
fatedier/frp,21/12/2015 15:24:59,641,77,07/03/2023 15:11:24,Go,2680,2572
thedaviddias/Front-End-Checklist,16/10/2017 10:12:36,292,1,07/03/2023 15:03:10,,143,137
macrozheng/mall,04/04/2018 01:11:44,105,2,07/03/2023 14:17:45,Java,454,428
pytorch/pytorch,13/08/2016 05:26:41,64104,43,07/03/2023 15:44:24,C++,31868,21427
hakimel/reveal.js,07/06/2011 18:54:22,1001,39,07/03/2023 15:43:47,JavaScript,2213,1575
neovim/neovim,31/01/2014 13:39:22,13103,31,07/03/2023 15:44:30,Vim Script,9373,8003
elastic/elasticsearch,08/02/2010 13:20:56,62410,108,07/03/2023 14:33:25,Java,31695,28117
florinpop17/app-ideas,25/02/2019 18:36:56,556,0,07/03/2023 13:42:32,,113,35
webpack/webpack,10/03/2012 10:08:14,6016,382,07/03/2023 12:21:03,JavaScript,9380,9187
iptv-org/iptv,14/11/2018 22:00:57,5714,0,07/03/2023 15:26:57,JavaScript,5339,4511
Hack-with-Github/Awesome-Hacking,30/03/2016 15:47:10,89,0,07/03/2023 15:39:45,,0,0
